Component,Cost_Range_INR,Description
Domain Name (.com),"₹800 - ₹1,500",Annual domain registration
Web Hosting (Annual),"₹3,000 - ₹8,000",Shared/VPS hosting with SSL
WordPress Theme,"Free - ₹5,000",Premium theme with updates
Logo & Branding Design,"₹5,000 - ₹15,000",Professional logo design
Professional Photography,"₹3,000 - ₹8,000",Event photos for portfolio
Content Writing,"₹5,000 - ₹10,000",SEO-optimized content
Website Development,"₹15,000 - ₹35,000",Custom design & development
Essential Plugins,"₹5,000 - ₹15,000","Booking, SEO, backup plugins"
SEO Setup,"₹3,000 - ₹8,000","Google My Business, keywords"
Total Estimated Cost,"₹39,800 - ₹1,05,500",Complete website setup
